id,type,subtype,url
145992,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=145992
75277,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=75277
553730,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=553730
74428,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=74428
393941,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393941
74393,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=74393
548432,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=548432
78694,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=78694
74596,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=74596
77919,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=77919
548433,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=548433
79164,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=79164
75399,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=75399
420795,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=420795
265719,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=265719
555189,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=555189
370533,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=370533
574389,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=574389
534676,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=534676
489789,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489789
198364,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198364
489484,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489484
79248,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=79248
194297,Creature,Goblin,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=194297
